PG.ProteinAccessions	[1] 20201218_tims03_Evo03_PS_SA_HeLa_200ng_300-1200_12scans_2steps_21min_8cm_S2-A5_1_22639.htrms.PG.Quantity	[2] 20201218_tims03_Evo03_PS_SA_HeLa_200ng_300-1200_12scans_2steps_21min_8cm_S2-A11_1_22645.htrms.PG.Quantity	[3] 20201218_tims03_Evo03_PS_SA_HeLa_200ng_300-1200_12scans_2steps_21min_8cm_S2-B5_1_22651.htrms.PG.Quantity	[4] 20201218_tims03_Evo03_PS_SA_HeLa_200ng_300-1200_12scans_2steps_21min_8cm_S2-B11_1_22657.htrms.PG.Quantity
O15446	822.0007934570312	823.199951171875	813.6105346679688	835.338134765625
O15460	404.73699951171875	392.7613830566406	427.5742492675781	429.3794250488281
O15498	368.54736328125	386.49432373046875	364.4392395019531	360.6816711425781
O15504	448.4804382324219	467.77496337890625	488.4135437011719	500.153076171875
O15511	2106.056396484375	2054.147216796875	2004.5880126953125	2039.701171875
O15514	3145.129638671875	3441.97216796875	3625.779296875	2687.423583984375
O15516	66.73699951171875	63.67734909057617	NaN	93.33809661865234
O15525	450.5372619628906	486.0997009277344	446.4190979003906	480.1029052734375
O15527	NaN	81.63770294189453	NaN	NaN
O15530	200.93275451660156	178.6836700439453	154.6800994873047	169.29205322265625
O15533	230.8419189453125	210.9837646484375	233.5319366455078	234.90245056152344
O15541	450.7923278808594	461.4903259277344	482.0902404785156	493.1632995605469
O15551	332.22003173828125	309.79827880859375	281.708740234375	309.54156494140625
O43143	4277.8994140625	4503.92138671875	4250.31298828125	4413.21484375
O43148	642.054931640625	664.5503540039062	666.3883056640625	661.046630859375
O43149	323.21124267578125	304.378173828125	321.4207763671875	318.1207275390625
O43150	22.539566040039062	38.263641357421875	42.77692413330078	40.037879943847656
O43156	806.2756958007812	720.2396850585938	709.6041870117188	678.658203125
O43157	97.72640991210938	20.786115646362305	NaN	82.30792999267578
O43159	516.1292724609375	504.27117919921875	511.99237060546875	526.9141235351562
O43164	311.3022766113281	291.041015625	279.595458984375	302.10211181640625
O43166	60.02242660522461	61.847843170166016	NaN	48.7831916809082
O43167	656.6439208984375	631.684326171875	612.6550903320312	596.1602172851562
O43169	3933.55908203125	4491.380859375	3973.923828125	4175.64208984375
O43172	2139.79296875	2123.582763671875	2201.760986328125	2248.0380859375
O43175	10676.3076171875	10043.04296875	9708.966796875	9643.8515625
O43181	412.9439392089844	378.07330322265625	402.7064514160156	366.4331970214844
O43237	1930.287353515625	1922.9791259765625	1936.390869140625	1901.34619140625
O43242	4020.444580078125	4148.34765625	4017.837890625	4005.928466796875
O43251	266.8371887207031	246.5833282470703	216.40733337402344	225.33837890625
O43252	799.9492797851562	808.149658203125	783.4288330078125	801.7171020507812
O43257	41.03239059448242	27.25684356689453	43.2999382019043	43.90565872192383
O43264	985.6694946289062	1058.7725830078125	1055.7293701171875	1048.3681640625
O43286	210.39614868164062	130.3831329345703	252.53111267089844	221.03436279296875
O43290	1595.4110107421875	1565.0682373046875	1494.745361328125	1494.8944091796875
O43292	412.5808410644531	440.4230041503906	487.5332946777344	463.79296875
O43293	250.08827209472656	244.87310791015625	256.5702819824219	243.2466278076172
O43294	47.77769470214844	NaN	NaN	NaN
O43298	251.25137329101562	256.19012451171875	268.44769287109375	246.1891632080078
O43299	232.7092742919922	163.9645538330078	217.89071655273438	188.34713745117188
O43303	NaN	NaN	110.83111572265625	NaN
O43310	204.43104553222656	198.8655548095703	219.0851287841797	218.7254638671875
O43314	519.369140625	518.1597290039062	513.821533203125	519.5706176757812
O43318	199.5084686279297	220.93165588378906	220.92335510253906	201.49575805664062
O43324	2859.3369140625	2918.21923828125	2889.870361328125	3063.000244140625
O43353	485.65814208984375	496.2904052734375	497.57452392578125	498.9886474609375
